Company Name,Title,Description,Location,Started On,Finished On
Eneco eMobility Nederland,Head of Engineering,"I’m currently steering the engineering helm at Eneco eMobility, where our mission is to drive the future of transportation into a sustainable era. As a passionate advocate for innovation and excellence in eMobility, I lead our engineering team towards not just envisioning but actualizing the future of electric mobility.","Rotterdam, South Holland, Netherlands",Apr 2024,
CorrelTrade,Founder,"CorrelTrade is an independent initiative focused on quantitative research in the stock market. Currently in the exploratory phase, the project is centered on developing positioning strategies through trend analysis and pattern recognition in equity markets.  The goal is to lay the groundwork for a scalable, data-driven approach to market insights, leveraging statistical models and algorithmic techniques","The Randstad, Netherlands",Jan 2024,
Garmin,Head of Backend Development Azure Cloud,"Head Of Backend Development of 4 Teams in Azure Cloud. Coaching the teams and Project owner of multiple projects. Setting up project estimates. Responsible for Hiring, administration and HR administration.","Oegstgeest, South Holland, Netherlands",Apr 2022,Apr 2024
De Haagse Hogeschool / The Hague University of Applied Sciences,Tech Rep. Lead Data Science Lectoraat,Subject matter expert for the university data science programs (Data / AI Driven Applications),"The Hague, South Holland, Netherlands",Sep 2020,Jan 2023
virtual society,CTO / Lead Innovator,Development of analytics and predictions using Monte Carlo Simulations. This involved probalistic modelling and simulation of complex systems by simulating Life Events using discrete event simulation. The probablistic distributions were derived from the government census and could generate temporal datasets that could be fet into LAW rule engines so the municipalities could see the impact of changing rules in the participatiewet (introduced in the Netherlands to promote social inclusion and participation in the workforce),Netherlands,Oct 2019,Jan 2023
PostNL,Senior Solution Software Engineer (AWS) Parcel Sorting Services,"Working in a DevOps Engineering team providing Operator Sorting Parcels Business Functionality, utilizing the AWS Cloud (Serverless / Lambda's) using CDK/CloudFormation as Infrastructure as Code. This solution services the PostNL's Depots.","The Hague, South Holland, Netherlands",Jun 2021,Apr 2022
Wigo4it,Lead Strategy and Innovation,"Advisor and Full Stack Developer. Working within the discipline Innovation,  Social Architecture, UX and Technology","The Hague Area, Netherlands",Dec 2019,May 2021
Wigo4it,Senior Software Engineer,Full Stack developer,"The Hague Area, Netherlands",Apr 2014,Dec 2019
Virtual Paradise,Volunteer Virtual Reality Consultant / SDK Developer,* Creator of the open source VPNET SDK for virtualparadise.org VR initiative. * 3D Modelling for virtual worlds content. ,Cyberspace,2004,Dec 2019
Irdeto,"Encryption Specialist, Senior Software Engineer Streaming Video Technologies","I Develop software in C++, C# and some Java.",,Sep 2013,Mar 2014
PGGM,Security Specialist Microsoft FIM 2010 Solution Developer,Workflow migrations from FIM R1 to FIM R2.,,Oct 2012,Aug 2013
Loyens & Loeff,"Security Specialist, Microsoft FIM 2010 Solution Developer",Developing custom workflows:  * Unique Account name generation version 2.0 accoording to proprietary algorithm. * Several Code activities formatting data  Writing Custom management agents for FIM:  * HR Housekeeping web site synchronization * Document management system synchronization,,Mar 2012,Aug 2013
Oxford Computer Group,Lead Software Developer / Security Architect / Product development,"Responsible as lead for software product development Oxford Computer Group BeNeLux. Building Identity Access Management Solutions for Microsoft FIM 2010, amongst:  * Vasco Token Management for FIM 2010 * Enterprise Self Service Portal for FIM 2010 * Skype based software token services * Activity / Management agent Installer packaging for FIM 2010 * Power Activity for FIM 2010 * LMS Cloud Service for FIM 2010 * Design and development of Context based access control (RBAC) and RBAC resource mapping for FIM 2010. * Microsoft Sharepoint Governance * Microsoft Crm Governance",,Oct 2009,Aug 2013
